,customer_id,first_name,last_name,email,phone_number,ssn,address,state,dob,Unnamed: 9,marital_status,Occupation,Level of Seniority,company,credit_card_number,credit_card_expiry,credit_card_security_code,annual_income,12 month purchace history,loyalty_points,last_login_ip,subscription_status,newsletter_opt_in,travel_freq_per_month,email_domain,age,Large_state_specific_grants,ip_derived_state,spend_to_income_ratio
232,4060,James,Lopez,James.Lopez@mueller.com,596.627.9318,700-28-7329,79063 John Mission Apt. 568,Virginia,1966-09-29,58,Married,Digital Content Creator,Individual Contributor,Stuart-Gonzalez,30592118307982,2026-08-22,5135,40490.4,34618,3947,190.127.85.240,Active,False,25,mueller.com,58,Not Eligible,Virginia,85.49680912018651
255,3098,Gregory,Quinn,Gregory.Quinn@montgomery.com,001-275-146-7885x856,684-44-0627,7995 Saunders Lake Suite 607,Ohio,1952-05-14,72,Divorced,Radiologist,Mid Managerial,Mitchell LLC,3532807517386030,2026-12-06,666,118880.8,62917,7083,3.172.175.213,Active,True,22,montgomery.com,72,Not Eligible,Ohio,52.92444196203255
284,8965,George,Giles,George.Giles@yahoo.com,356-316-5029x620,863-44-4255,805 Marisa Ways Suite 218,Wisconsin,2005-09-01,19,Single,Electrical Engineer,Individual Contributor,"Smith, Kim and Walker",30214634173869,2025-12-20,534,204590.0,79378,6036,158.42.181.8,Active,False,13,yahoo.com,19,Not Eligible,Wisconsin,38.79857275526663
318,8439,Stephanie,Meyer,Stephanie.Meyer@yahoo.com,621160838,828-89-2919,6534 Debbie Ville Apt. 067,West Virginia,1989-10-22,35,Divorced,Legal Advisor,Individual Contributor,"Butler, Walter and Harding",4663655896653,2026-02-12,666,88989.6,56170,9221,26.143.127.120,Active,False,20,yahoo.com,35,Not Eligible,West Virginia,63.119735339859936
351,4828,Amanda,Parker,Amanda.Parker@kennedy.net,653.482.0085x22150,155-84-9566,100 Holmes Cliffs,Washington,1997-12-16,27,Single,Dentist,Mid Managerial,"Oconnell, Simmons and Pacheco",4615530896708340,2027-02-06,957,164626.4,85738,2087,39.97.182.255,Active,False,25,kennedy.net,27,Not Eligible,Washington,52.08034677305706
366,3249,Charles,Garcia,Charles.Garcia@gmail.com,+1-585-905-4322x08686,861-91-5218,"PSC 2000, Box 5931",Georgia,1984-12-12,40,Married,Human Resources Manager,Mid Managerial,"Johnson, Marks and Baldwin",4529179742394,2027-01-20,892,18090.4,11263,2040,30.219.82.33,Active,False,9,gmail.com,40,Not Eligible,Georgia,62.259540972007244
428,6871,Melissa,Atkins,Melissa.Atkins@williams.com,+1-123-608-4233x436,432-41-1377,00700 Johnson Ville Suite 601,New Mexico,1982-10-02,42,Single,Human Resources Manager,Mid Managerial,Manning-Anderson,4440239852969,2027-05-15,666,199559.2,74824,9929,217.42.112.251,Active,True,20,williams.com,42,Not Eligible,New Mexico,37.49463818255435
484,1250,Daniel,Walsh,Daniel.Walsh@hotmail.com,(442)477-7659x5582,332-16-4913,354 Jordan Manor Suite 746,Vermont,1937-01-17,87,Divorced,HR Specialist,Individual Contributor,"Roberts, Phelps and Armstrong",3568094571801460,2025-09-24,666,32000.0,25331,8007,192.210.182.151,Active,True,22,hotmail.com,87,Not Eligible,Vermont,79.159375
520,2485,Frank,Lawrence,Frank.Lawrence@perez.com,105.790.9227x19581,292-48-3023,6375 Coleman Bridge Suite 613,Alabama,1994-07-31,30,Married,Psychiatrist,Executive,Davis-Martin,4568814298759159808,2025-10-06,6961,38161.2,54521,5108,139.123.49.202,Active,False,9,perez.com,30,Not Eligible,Alabama,142.87024517048732
524,7468,Erik,Pham,Erik.Pham@yahoo.com,(984)829-3100,469-75-5046,7364 Brandon Meadows,Pennsylvania,1935-12-28,89,Single,Financial Analyst,Individual Contributor,George LLC,3576707737935050,2025-06-12,75,153408.0,62708,1821,192.210.182.151,Active,False,18,yahoo.com,89,Not Eligible,Pennsylvania,40.87661660408845
535,7168,Darlene,Barnes,Darlene.Barnes@davis.net,+1-876-405-3493x81868,610-58-7498,521 Michelle Parkway,Virginia,1978-08-25,46,Married,Financial Analyst,Individual Contributor,Reynolds LLC,38643998052032,2027-05-10,122,85460.0,73225,1630,28.44.187.47,Active,True,5,davis.net,46,Not Eligible,Virginia,85.68336063655512
558,9520,Nicholas,Lambert,Nicholas.Lambert@jimenez.com,(092)442-2697,799-97-6606,489 Richard Canyon Apt. 467,South Dakota,1994-05-30,30,Divorced,Senior Software Developer,Mid Managerial,Hunt Group,571762850949,2025-12-23,666,34104.8,17604,8295,88.177.217.137,Active,False,13,jimenez.com,30,Not Eligible,Texas,51.61736764326429
567,3521,Gregory,Gonzalez,Gregory.Gonzalez@yahoo.com,001-764-800-3385x05731,556-23-4302,5547 Patrick Views,Texas,1950-10-19,74,Single,Digital Content Creator,Individual Contributor,Adkins Ltd,3595273613675770,2026-04-14,666,79025.6,33028,8852,100.47.201.202,Active,False,11,yahoo.com,74,Eligible,Texas,41.794051547852845
711,1545,Stephanie,Gonzalez,Stephanie.Gonzalez@rivers.org,001-028-552-1997x274,170-36-6180,8569 Michael Bypass,Louisiana,1974-06-19,50,Single,Surgeon,Executive,"Kennedy, Lopez and Alvarez",4967525817572090,2026-09-04,748,70598.8,54212,4543,89.100.167.26,Active,True,11,rivers.org,50,Not Eligible,Louisiana,76.788840603523
831,8130,Paul,Adams,Paul.Adams@mclaughlin-nelson.org,001-349-158-9165x939,029-11-9412,0005 Gail Passage Apt. 463,Maryland,2006-02-26,18,Single,Research Scientist,Individual Contributor,Taylor Ltd,630418047977,2027-04-03,666,192196.8,92308,9929,99.99.169.132,Active,True,8,mclaughlin-nelson.org,18,Not Eligible,Maryland,48.0278547821816
837,8466,Bradley,Graham,Bradley.Graham@french.biz,331492484,600-46-0911,892 Brandi Spring,Kentucky,2005-03-22,19,Single,Junior Data Analyst,Junior,Hurley and Sons,6011582404401600,2026-10-18,649,201889.6,75011,5983,79.196.160.187,Active,False,8,french.biz,19,Not Eligible,Kentucky,37.15446461828643
909,6002,Christine,Ortiz,Christine.Ortiz@zamora.com,1-10-319-1976,477-83-4643,01012 Paula Turnpike Suite 976,Arizona,1968-12-27,56,Single,Financial Analyst,Individual Contributor,Lambert-Myers,4898753043788,2025-12-30,625,87788.0,76233,4007,155.209.35.254,Active,True,5,zamora.com,56,Not Eligible,Arizona,86.83760878479974
