,customer_id,first_name,last_name,email,phone_number,ssn,address,state,dob,Unnamed: 9,marital_status,Occupation,Level of Seniority,company,credit_card_number,credit_card_expiry,credit_card_security_code,annual_income,12 month purchace history,loyalty_points,last_login_ip,subscription_status,newsletter_opt_in,travel_freq_per_month,email_domain,age,Large_state_specific_grants,ip_derived_state
159,7802,Chelsea,Morris,Chelsea.Morris@yahoo.com,001-211-755-6335,720-56-1187,56005 Megan Shoal Suite 930,Minnesota,1964-04-28,60,Single,Sales Executive,Low Managerial,Preston-Rose,180033352274479,2026-01-08,666,344924.4,56905,9037,208.216.141.72,Active,True,4,yahoo.com,60,Not Eligible,Minnesota
183,7802,Chelsea,Morris,Chelsea.Morris@yahoo.com,001-211-755-6335,720-56-1187,USCGC Ford,Hawaii,1964-04-28,60,Single,Sales Executive,Low Managerial,Preston-Rose,180033352274479,2027-06-11,666,344924.4,56905,9037,208.216.141.72,Active,True,0,yahoo.com,60,Not Eligible,Hawaii
194,2553,Wendy,Huff,Wendy.Huff@yahoo.com,(344)520-1673x359,655-58-1856,56976 George Meadow Suite 300,Tennessee,1984-01-27,40,Married,Senior Software Developer,Mid Managerial,"Holmes, Hamilton and Simpson",4745098823094020,2024-09-14,666,257614.8,74741,9676,41.179.210.206,Inactive,True,1,yahoo.com,40,Not Eligible,South Dakota
208,2208,Kathleen,Harrington,Kathleen.Harrington@cooper-martin.com,319-198-4176x538,099-71-6067,005 Smith Lakes Apt. 498,Maine,1951-11-02,73,Married,Chief Financial Officer,Executive,Hodges Ltd,589920206879,2027-06-02,979,364431.2,96295,907,112.129.245.141,Inactive,False,2,cooper-martin.com,73,Not Eligible,Maine
211,1625,Garrett,Fleming,Garrett.Fleming@pitts-gilmore.org,1-296-813-8684,847-87-9871,195 Ronald Vista Apt. 908,Georgia,1959-09-29,65,Divorced,Graphic Designer,Individual Contributor,"Fisher, Stewart and Hopkins",4204250538721390080,2025-12-11,294,324511.6,50424,4057,201.246.233.119,Inactive,True,17,pitts-gilmore.org,65,Not Eligible,Georgia
219,4922,Eric,Wilson,Eric.Wilson@yahoo.com,327-356-0036x735,395-60-7089,Unit 9846 Box 4337,Washington,1934-12-29,90,Single,Chief Executive Officer,Executive,Nelson Group,2249116322277970,2025-03-13,392,372674.8,65785,3311,156.51.91.221,Pending,False,1,yahoo.com,90,Not Eligible,Washington
224,7931,Paula,Williams,Paula.Williams@gmail.com,045-895-4113,243-63-5844,3472 Mcintosh Orchard Apt. 117,Maine,2001-09-28,23,Single,Sales Executive,Low Managerial,Navarro-Lawson,566251192993,2025-07-30,913,167153.6,75707,1475,193.113.177.227,Active,True,13,gmail.com,23,Not Eligible,Maine
228,2553,Wendy,Evans,Wendy.Evans@yahoo.com,(344)520-1673x359,655-58-1856,2123 Gray Track Suite 916,Michigan,1984-01-27,40,Married,Senior Software Developer,Mid Managerial,"Holmes, Hamilton and Simpson",4745098823094020,2027-06-04,666,257614.8,74741,9676,41.179.210.206,Inactive,True,2,yahoo.com,40,Not Eligible,Michigan
229,2919,Isabel,Evans,Isabel.Evans@yahoo.com,(683)403-2757x36513,078-25-2906,2123 Gray Track Suite 916,Michigan,1975-06-20,49,Single,Financial Analyst,Individual Contributor,Jordan Group,60449013014,2027-06-05,5463,167700.0,50740,2367,59.16.175.215,Active,False,1,yahoo.com,49,Not Eligible,Michigan
244,5258,Heidi,Anderson,Heidi.Anderson@yahoo.com,169.379.8394,864-98-8417,3130 Tucker Vista Apt. 928,West Virginia,1959-03-16,65,Single,Project Manager,Low Managerial,"Campbell, Winters and Brooks",4382833332040450,2025-01-14,489,95136.8,83310,4206,90.239.152.85,Pending,True,0,yahoo.com,65,Not Eligible,West Virginia
245,7422,Victoria,Petersen,Victoria.Petersen@wilson.info,001-795-137-1843,061-06-7144,824 Thompson Via Apt. 401,Oklahoma,1935-12-19,89,Single,Electrical Engineer,Individual Contributor,Estrada and Sons,3516428405637380,2027-06-06,304,90369.6,51342,3544,41.240.73.235,Pending,True,0,wilson.info,89,Not Eligible,Oklahoma
256,4102,Paul,Wong,Paul.Wong@miller-rhodes.com,6199785975,845-15-1496,65466 Hodge Knolls Suite 744,Idaho,1961-04-17,63,Single,Digital Content Creator,Individual Contributor,"Sullivan, Saunders and Gomez",4633755961204170,2024-11-10,4211,78553.2,66887,5924,134.28.232.162,Pending,True,13,miller-rhodes.com,63,Not Eligible,Idaho
258,5172,Darrell,Coleman,Darrell.Coleman@walker.info,(520)923-2822x8523,338-47-1945,"PSC 8927, Box 1796",Iowa,1990-04-07,34,Divorced,"Doctor, General Practitioner",Executive,Carson-Davis,3549306073366660,2026-11-06,897,61652.4,78588,3803,43.242.226.141,Pending,False,15,walker.info,34,Not Eligible,Iowa
285,7685,Jimmy,Carroll,Jimmy.Carroll@gmail.com,1-208-421-6761,101-54-5659,5873 Brown Inlet Apt. 396,Idaho,1950-12-07,74,Single,Dentist,Mid Managerial,Benton-Perez,4190558548199,2025-10-28,547,202372.8,91136,1562,66.232.94.119,Pending,False,6,gmail.com,74,Not Eligible,Idaho
289,7064,Ralph,Bowers,Ralph.Bowers@smith-jensen.net,748.731.3883,406-41-0221,901 Page Path,Washington,1983-12-07,41,Single,Pharmacist,Individual Contributor,Williams Ltd,578740028902,2024-12-31,666,361384.4,3336,8424,37.61.157.96,Pending,False,6,smith-jensen.net,41,Not Eligible,Washington
315,8654,Erik,Kramer,Erik.Kramer@gmail.com,119.109.0734x731,127-69-0079,USCGC Ford,Hawaii,1993-05-15,31,Single,Senior Accountant,Mid Managerial,Weber Inc,3524628793508560,2027-06-10,184,72751.6,81332,5341,110.51.142.191,Inactive,False,0,gmail.com,31,Not Eligible,Hawaii
327,1437,Lisa,Smith,Lisa.Smith@williams.com,851.530.9406x4958,818-07-8830,760 Stacey Lights Suite 150,Kentucky,1974-10-15,50,Married,Human Resources Manager,Mid Managerial,"Newman, Rogers and Zimmerman",581232903236,2027-06-15,666,315682.0,71759,7523,197.4.220.214,Active,False,4,williams.com,50,Not Eligible,Kentucky
347,5173,Carl,Austin,Carl.Austin@nguyen.com,001-364-375-5444x9263,878-70-5975,77829 Chelsea Parkway Apt. 159,New Mexico,1973-10-03,51,Married,Pediatrician,Executive,"Bruce, Collins and Owens",4147411794783260,2026-09-22,822,274158.4,67951,4880,203.198.93.41,Active,True,5,nguyen.com,51,Not Eligible,New Mexico
398,6664,Shari,Bowen,Shari.Bowen@gmail.com,(993)431-3519,406-41-0221,064 Jeffrey Forge Suite 227,New Mexico,1979-11-05,45,Divorced,Research Scientist,Individual Contributor,Lewis LLC,4094927665914420,2026-10-29,307,440492.0,97957,2064,197.21.69.105,Active,False,0,gmail.com,45,Not Eligible,New Mexico
418,2919,Isabel,Silva,Isabel.Silva@yahoo.com,(683)403-2757x36513,078-25-2906,404 Richard Creek,Michigan,1975-06-20,49,Single,Financial Analyst,Individual Contributor,Jordan Group,60449013014,2024-12-12,5463,167700.0,50740,2367,59.16.175.215,Active,False,0,yahoo.com,49,Not Eligible,Ohio
422,6112,Kimberly,Alvarez,Kimberly.Alvarez@hotmail.com,725-893-7253x13672,864-98-8417,279 Mark Parkway,Oregon,1969-04-04,55,Married,Junior Marketing Coordinator,Junior,Bell and Sons,4764561197887,2025-04-02,897,186573.6,27321,1844,223.74.184.53,Inactive,False,4,hotmail.com,55,Not Eligible,Oregon
424,9322,Matthew,Jackson,Matthew.Jackson@mitchell.com,982.217.8569,228-60-5983,71073 Deborah Plains Apt. 839,Indiana,1983-05-20,41,Divorced,Operations Director,Executive,Michael-Richardson,213107207517109,2024-10-22,699,54270.0,14844,2943,151.7.145.97,Pending,True,4,mitchell.com,41,Not Eligible,Indiana
432,1663,Alyssa,Morales,Alyssa.Morales@wright.com,+1-963-459-7293x80189,123-45-6789,9150 Sarah Trace,Indiana,2004-07-09,20,Single,Chief Technology Officer,Executive,Wood and Sons,3523096213284540,2024-09-01,666,393623.6,84608,7494,54.211.178.240,Pending,False,0,wright.com,20,Not Eligible,Montana
436,4498,David,Avila,David.Avila@hotmail.com,445.709.8455,878-70-5975,2936 Bailey Harbors Apt. 995,Arizona,1963-08-13,61,Married,Dentist,Mid Managerial,Cardenas-Gay,3540168256649950,2025-04-14,542,234952.4,66324,3632,197.4.220.214,Pending,False,0,hotmail.com,61,Not Eligible,Arizona
438,7685,Jimmy,Richardson,Jimmy.Richardson@gmail.com,1-208-421-6761,101-54-5659,6461 Christopher Crossroad,Idaho,1950-12-07,74,Single,Dentist,Mid Managerial,Benton-Perez,4190558548199,2027-06-01,547,202372.8,91136,1562,66.232.94.119,Pending,False,9,gmail.com,74,Not Eligible,Idaho
440,4855,Stephanie,Armstrong,Stephanie.Armstrong@gmail.com,+1-451-683-2791x1754,606-79-5880,824 Thompson Via Apt. 401,Kansas,1938-11-01,86,Married,"Doctor, General Practitioner",Executive,Nguyen Ltd,4360542291566510,2027-06-07,666,394415.6,9972,8573,100.47.201.202,Inactive,True,17,gmail.com,86,Not Eligible,Kansas
458,3985,Gary,Harrington,Gary.Harrington@dickson.info,(675)228-8263x318,028-73-3715,005 Smith Lakes Apt. 498,Maine,1936-11-17,88,Married,Psychiatrist,Executive,Williams Ltd,4822947643877810,2027-06-03,7396,110036.0,51805,6930,136.26.234.79,Inactive,True,0,dickson.info,88,Not Eligible,Maine
496,1627,Alexandria,Burgess,Alexandria.Burgess@gmail.com,001-229-348-2415x948,143-21-3211,512 Jimmy Dale,Mississippi,1998-09-18,26,Divorced,Senior Accountant,Mid Managerial,Lee LLC,502035819502,2027-03-03,621,316440.0,41734,1827,67.155.145.122,Active,False,0,gmail.com,26,Not Eligible,Mississippi
502,6679,Erica,Burke,Erica.Burke@hotmail.com,1-886-12-3245,143-21-3211,835 Scott Neck,Nevada,1966-08-14,58,Single,Junior Data Analyst,Junior,Copeland Group,372098140939046,2025-11-27,666,32987.2,25181,8223,169.248.70.100,Inactive,False,0,hotmail.com,58,Not Eligible,Nevada
559,1437,Lisa,Smith,Lisa.Smith@williams.com,851.530.9406x4958,818-07-8830,401 Butler Dam Suite 011,Kentucky,1974-10-15,50,Married,Human Resources Manager,Mid Managerial,"Newman, Rogers and Zimmerman",581232903236,2024-12-25,666,315682.0,71759,7523,197.4.220.214,Active,False,2,williams.com,50,Not Eligible,Kentucky
625,2620,Mark,Davis,Mark.Davis@gmail.com,(651)062-4029,722-65-2813,21137 Trevino Flats,Georgia,1992-12-14,32,Single,Supply Chain Manager,Mid Managerial,Hunt-Stewart,3581709239860870,2026-12-25,380,170392.8,46436,251,188.158.220.61,Active,True,13,gmail.com,32,Not Eligible,Georgia
674,1815,Eric,Davis,Eric.Davis@williams-burton.biz,(365)634-3934x662,455-39-5032,740 Gonzalez Station,Indiana,1965-04-27,59,Divorced,Chief Executive Officer,Executive,Jordan LLC,30397136951419,2027-05-27,104,70690.4,50817,2159,134.171.57.199,Active,True,24,williams-burton.biz,59,Not Eligible,Indiana
677,9322,Matthew,Davis,Matthew.Davis@mitchell.com,982.217.8569,228-60-5983,740 Gonzalez Station,Indiana,1983-05-20,41,Divorced,Operations Director,Executive,Michael-Richardson,213107207517109,2027-05-28,699,54270.0,14844,2943,151.7.145.97,Pending,True,0,mitchell.com,41,Not Eligible,Indiana
680,8654,Erik,Kramer,Erik.Kramer@gmail.com,119.109.0734x731,127-69-0079,40072 Graham Drive,Hawaii,1993-05-15,31,Single,Senior Accountant,Mid Managerial,Weber Inc,3524628793508560,2025-12-03,184,72751.6,81332,5341,110.51.142.191,Inactive,False,3,gmail.com,31,Not Eligible,Hawaii
686,1816,Cathy,Wagner,Cathy.Wagner@brock-james.com,001-634-361-2165x10026,597-02-5243,963 John Alley Suite 759,Georgia,1996-06-26,28,Single,Principal Scientist,Executive,Andrews Ltd,30297298628898,2027-05-30,666,280795.6,40075,9412,140.135.137.255,Active,False,1,brock-james.com,28,Not Eligible,Georgia
712,1625,Garrett,Richardson,Garrett.Richardson@pitts-gilmore.org,1-296-813-8684,847-87-9871,6461 Christopher Crossroad,Idaho,1959-09-29,65,Divorced,Graphic Designer,Individual Contributor,"Fisher, Stewart and Hopkins",4204250538721390080,2027-05-31,294,324511.6,50424,4057,201.246.233.119,Inactive,True,0,pitts-gilmore.org,65,Not Eligible,Idaho
714,4922,Eric,Wilson,Eric.Wilson@yahoo.com,327-356-0036x735,395-60-7089,42769 Brandi Mall,Washington,1934-12-29,90,Single,Chief Executive Officer,Executive,Nelson Group,2249116322277970,2027-06-13,392,372674.8,65785,3311,156.51.91.221,Pending,False,1,yahoo.com,90,Not Eligible,Washington
733,5703,Robert,Clark,Robert.Clark@yahoo.com,001-042-259-1159x511,220-71-2145,979 Dana Forge Suite 032,Montana,1998-09-19,26,Single,Research Scientist,Individual Contributor,"Brady, Jackson and Jones",6582329842060750,2025-11-03,248,287483.2,29583,1996,223.74.184.53,Pending,True,0,yahoo.com,26,Not Eligible,Montana
744,1063,Christina,Clay,Christina.Clay@walker.org,811.749.5865x4465,598-96-3090,5669 Christina Well,Florida,1935-10-17,89,Single,Principal Scientist,Executive,Sims Group,4760844935804,2026-10-02,666,62562.8,84977,9359,201.246.233.119,Active,True,0,walker.org,89,Eligible,Florida
767,5855,Patricia,Baird,Patricia.Baird@hotmail.com,3349995747,878-70-5975,1928 Howard Squares Apt. 987,Mississippi,1965-10-04,59,Divorced,Customer Support Representative,Junior,"Stevenson, Guzman and Keith",4201617770220429824,2025-12-05,886,260427.2,7256,4891,183.9.96.74,Active,True,0,hotmail.com,59,Not Eligible,Mississippi
793,6686,Shawn,Johnson,Shawn.Johnson@yahoo.com,595-631-2528,588-27-2903,454 Jones Prairie,New Hampshire,1948-04-17,76,Married,Psychiatrist,Executive,"Dougherty, Allen and Davila",4077739578830680,2027-06-08,200,223241.6,27564,2004,206.134.60.231,Pending,True,7,yahoo.com,76,Not Eligible,New Hampshire
816,3300,Brianna,Cole,Brianna.Cole@young-carter.com,(736)046-9368x10739,338-47-1945,82436 Nicole Place Suite 657,Illinois,1991-12-04,33,Married,Business Development Manager,Mid Managerial,Smith-Dunn,30465215103275,2026-10-04,298,131268.0,97297,5914,169.37.121.165,Pending,False,0,young-carter.com,33,Eligible,Illinois
841,2075,Duane,Bowen,Duane.Bowen@cook-johnson.com,1-30-968-1561,406-41-0221,286 Nguyen Meadows,Kentucky,1993-09-08,31,Single,Business Development Manager,Mid Managerial,Mendez Inc,630494052271,2025-10-24,986,302483.6,53160,1078,125.67.162.149,Active,False,3,cook-johnson.com,31,Not Eligible,Kentucky
870,4102,Paul,Wong,Paul.Wong@miller-rhodes.com,6199785975,845-15-1496,42769 Brandi Mall,Washington,1961-04-17,63,Single,Digital Content Creator,Individual Contributor,"Sullivan, Saunders and Gomez",4633755961204170,2027-06-12,4211,78553.2,66887,5924,134.28.232.162,Pending,True,11,miller-rhodes.com,63,Not Eligible,Idaho
894,7422,Victoria,Petersen,Victoria.Petersen@wilson.info,001-795-137-1843,061-06-7144,286 Hudson Haven Apt. 044,Oklahoma,1935-12-19,89,Single,Electrical Engineer,Individual Contributor,Estrada and Sons,3516428405637380,2025-12-12,304,90369.6,51342,3544,41.240.73.235,Pending,True,13,wilson.info,89,Not Eligible,Oklahoma
914,3985,Gary,Mckenzie,Gary.Mckenzie@dickson.info,(675)228-8263x318,028-73-3715,519 Thomas Dam Apt. 743,Maine,1936-11-17,88,Married,Psychiatrist,Executive,Williams Ltd,4822947643877810,2025-04-24,7396,110036.0,51805,6930,136.26.234.79,Inactive,True,14,dickson.info,88,Not Eligible,Maine
957,1816,Cathy,Wagner,Cathy.Wagner@brock-james.com,001-634-361-2165x10026,597-02-5243,760 Stacey Lights Suite 150,Oklahoma,1996-06-26,28,Single,Principal Scientist,Executive,Andrews Ltd,30297298628898,2027-06-14,666,280795.6,40075,9412,140.135.137.255,Active,False,0,brock-james.com,28,Not Eligible,Oklahoma
961,2491,Brandon,Anderson,Brandon.Anderson@yahoo.com,001-999-610-2286x389,864-98-8417,22501 Justin River,Rhode Island,2002-12-05,22,Married,UX/UI Designer,Individual Contributor,Wood PLC,3541812388883060,2026-04-09,363,283583.2,88474,760,141.47.52.15,Pending,False,0,yahoo.com,22,Not Eligible,California
970,7311,Sheryl,Morales,Sheryl.Morales@wilcox-doyle.com,821.962.2545,123-45-6789,09148 Sarah Trace,Indiana,1960-08-18,64,Single,Software Engineer,Individual Contributor,Lopez and Sons,4863045045996060,2024-08-30,530,236419.6,29864,2736,140.96.167.157,Inactive,True,0,wilcox-doyle.com,64,Not Eligible,Indiana
982,1815,Eric,Holmes,Eric.Holmes@williams-burton.biz,(365)634-3934x662,455-39-5032,416 Rebekah Junction Suite 972,Minnesota,1965-04-27,59,Divorced,Chief Executive Officer,Executive,Jordan LLC,30397136951419,2026-09-02,104,70690.4,50817,2159,134.171.57.199,Active,True,22,williams-burton.biz,59,Not Eligible,Minnesota
994,7931,Paula,Williams,Paula.Williams@gmail.com,045-895-4113,243-63-5844,454 Jones Prairie,Maine,2001-09-28,23,Single,Sales Executive,Low Managerial,Navarro-Lawson,566251192993,2027-06-09,913,167153.6,75707,1475,193.113.177.227,Active,True,11,gmail.com,23,Not Eligible,Maine
